------------ PCB NO.: 13269-1
------------ ITEM   : 455.00G01.M006
------------ Model  : CEDAR14_H PILOT MB #6 S
 
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM3
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM2
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM1
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM4
022.10001.0551                        SKT RJ45 8P C100MR-10809-L               1    RJ45
022.10002.0001                        SKT AUDIO JACK 7P DIP 2SJ3080-036111F    1    HPMIC1
022.10019.0001                        SKT SATA S7+P15 127043HR022M28FZR        1    HDD1
071.00285.000G                        IC KBC NPCE285PA0DX LQFP 128P            1    KBC24
071.08106.0003                        IC LAN PCIe 10/100 RTL8106E-CGT QFN 32P  1    LOM30
074.05016.0093                        IC LOAD SW G5016KD1U TDFN2X3 14P         2    U3601
074.05016.0093                        IC LOAD SW G5016KD1U TDFN2X3 14P         2    U8301
074.06288.009B                        IC PWM SW SY6288DAAC SOT23-5             3    U3505
074.06288.009B                        IC PWM SW SY6288DAAC SOT23-5             3    U3504
074.06288.009B                        IC PWM SW SY6288DAAC SOT23-5             3    U3503
084.06970.0037                        FET MOS AON6970 NC DFN5X6D               1    PU4701
20.81152.013                          CONN CTR 13P C185A1-11305-L              1    ODD1
20.81925.009                          CONN CTR 9P C144LC-109A7-L BATTERY       1    BAT1
20.F1639.004                          CONN CTR SMD 4P 50224-0040N-W02          1    SPK1
20.F1783.007                          CONN CTR 7P SM 50299-00701-W01 ACES      1    DCIN1
20.F1841.003                          CONN CTR 3P SMD 3703K-Q03N-11L           1    FAN1
20.K0382.016                          CONN FPC 16P SMD 196353-16021-3          1    CON1
20.K0465.004                          CONN FPC 4P SMD 6916K-Q04N-20L           1    SW1
20.K0592.030                          COMN FPC 30P SMD 51518-03001-001 ACES    2    KB2
20.K0592.030                          COMN FPC 30P SMD 51518-03001-001 ACES    2    KB1
20.K0665.008                          CONN FPC 8P SMD 6915K-Q08N-00L           1    TPAD1
20.K0678.040                          CONN FPC 40P SMD 51540-04001-W01         1    LCD1
20.K0800.004                          CONNECTOR FPC 4P SMD 51575-00401-W01     1    KBLIT1
22.10296.A31                          SKT HDMI 19P DIP C128C5-K1909-L          1    HDMI1
22.10321.E91                          SKT USB 4P C107X3-10405-L                1    USB2
22.10341.Q21                          SKT USB3.0 9P DIP C190B7-10909-L         1    USB1
34.15J03.001                          EMI SMD SQ-75G EMI STOP                  1    SPR4
34.41V01.001                          EMI SPRING J8(SQ_37)                     2    SPR2
34.41V01.001                          EMI SPRING J8(SQ_37)                     2    SPR3
34.44L12.101                          BOSS-MB-STAND-OFF-W/O MYLAR_LD           2    S1
34.44L12.101                          BOSS-MB-STAND-OFF-W/O MYLAR_LD           2    S2
34.4Y806.001                          SPRING EMI 2*3.3*3.8MM                   1    SPR5
62.10024.R31                          SKT DDR3 204P 40-42045-20401RHF          1    DM1
62.10043.C81                          SKT MINPCI 52P SMD AS0B221-S52QW-7H      1    WLAN1
62.70014.001                          HOLDER BATTERY 2P SMD 060003HA002M213ZL  1    RTC1
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   L1101
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   R5232
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   PR4217
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   PR4409
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   PR4701
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   PR8210
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   PR8211
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   R2923
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   R6205
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   L1102
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   R5230
63.00000.00L                          CHIP RES 0 J 1/10W 0603                  12   R5229
63.10031.16L                          CHIP RES 10 J 1/8W 0805(ROHS)            1    PR4408
63.10034.1DL                          CHIP RES 10 J 1/16W 0402                 3    PR8315
63.10034.1DL                          CHIP RES 10 J 1/16W 0402                 3    PR8316
63.10034.1DL                          CHIP RES 10 J 1/16W 0402                 3    PR8317
63.10134.1DL                          CHIP RES 100 J 1/16W 0402                3    R5210
63.10134.1DL                          CHIP RES 100 J 1/16W 0402                3    R5233
63.10134.1DL                          CHIP RES 100 J 1/16W 0402                3    R6102
